<Apocalypse:bucketHelm>, 桶头盔
<BiblioCraft:item.BiblioRedBook>, 红石之书:第一卷
<BiblioCraft:item.BiblioWayPointCompass>, 路标盘
<BiblioCraft:item.BigBook>, 精致成书
<BiblioCraft:item.DeathCompass>, 永恒罗盘
<BiblioCraft:item.EnchantedPlate>, 附魔片
<BiblioCraft:item.FramingBoard>, 镶框板
<BiblioCraft:item.FramingSaw>, 镶框锯
<BiblioCraft:item.FramingSheet>, 镶框片
<BiblioCraft:item.HandDrill>, 手摇钻
<BiblioCraft:item.PaintingCanvas>, 画布
<BiblioCraft:item.PlumbLine>, 铅垂线
<BiblioCraft:item.PrintPlate>, 拓印片
<BiblioCraft:item.RecipeBook>, 空白合成手册
<BiblioCraft:item.SlottedBook>, 中空书
<BiblioCraft:item.StockroomCatalog>, 仓库目录
<BiblioCraft:item.TesterItem>, 物品名检测器
<BiblioCraft:item.seatBack>, 橡木椅背
<BiblioCraft:item.seatBack2>, 橡木椅背
<BiblioCraft:item.seatBack3>, 橡木椅背
<BiblioCraft:item.seatBack4>, 橡木椅背
<BiblioCraft:item.seatBack5>, 橡木椅背
<BiblioCraft:item.tape>, 卷尺卷筒
<BiblioCraft:item.tapeMeasure>, 卷尺
<BiblioCraft:tile.BiblioFramedChest>, 镶框箱子
<DayZ:barbedWire>, 铁丝网
<DayZ:chainFence>, 铁丝网围栏
<DayZ:chestLoot>, 战利品
<DayZ:item.ammoAk74u>, Ak-74u步枪弹匣
<DayZ:item.ammoDoubleBarreledShotgun>, 双管猎枪弹药
<DayZ:item.ammoGlock17>, 格洛克17弹匣
<DayZ:item.ammoLeeEnfield>, 李-恩菲尔德步枪弹匣
<DayZ:item.ammoMakarov>, 马卡洛夫手枪弹匣
<DayZ:item.ammoRemington>, 雷明顿霰弹枪弹药
<DayZ:item.ammoUsp>, USP手枪弹匣
<DayZ:item.camoBoots>, 迷彩靴
<DayZ:item.camoChest>, 迷彩衬衫
<DayZ:item.camoHelmet>, 迷彩头盔
<DayZ:item.camoLegs>, 迷彩裤
<DayZ:item.cannedBeans>, 豆子罐头
<DayZ:item.cannedFish>, 鱼肉罐头
<DayZ:item.cannedFruit>, 水果罐头
<DayZ:item.cannedPasta>, 意面罐头
<DayZ:item.cannedPickles>, 泡菜罐头
<DayZ:item.cannedSoup>, 罐头汤
<DayZ:item.drinkCanBeer>, 啤酒
<DayZ:item.drinkCanCola>, 可乐
<DayZ:item.drinkCanEnergyDrink>, 能量饮料
<DayZ:item.drinkCanLemonSoda>, 柠檬汽水
<DayZ:item.drinkCanOrangeSoda>, 橘子汽水
<DayZ:item.drinkCiderBottle>, 一瓶苹果酒
<DayZ:item.drinkVodkaBottle>, 一瓶伏特加
<DayZ:item.drinkWhiskeyBottle>, 一瓶威士忌
<DayZ:item.gunAk74u>, Ak-74u步枪(Ak-74的变种)
<DayZ:item.gunDoubleBarreledShotgun>, 双管猎枪
<DayZ:item.gunGlock17>, 格洛克17手枪
<DayZ:item.gunLeeEnfield>, 李-恩菲尔德步枪
<DayZ:item.gunMakarov>, 马卡洛夫手枪
<DayZ:item.gunRemington>, 雷明顿霰弹枪
<DayZ:item.gunUsp>, USP手枪
<DayZ:item.healAntibiotics>, 抗生素
<DayZ:item.healBandage>, 绷带
<DayZ:item.healBloodbag>, 血袋
<DayZ:item.itemMatches>, 折叠火柴
<DayZ:item.meleeBaseballBat>, 球棒
<DayZ:item.meleeBaseballBatNailed>, 狼牙棒
<DayZ:item.meleeCrowbar>, 撬棍
<DayZ:item.meleeMachete>, 柴刀
<DayZ:item.meleePipe>, 钢管
<DayZ:item.meleePlank>, 木板
<DayZ:item.meleePlankNailed>, 钉板
<DayZ:nailBlock>, 钉子
<DayZ:sandbagBlock>, 沙袋
<FoodCraft:BlockBailuobo>, tile.BlockBailuobo.name
<FoodCraft:BlockCaomei>, tile.BlockCaomei.name
<FoodCraft:BlockCaomeiDG>, 草莓蛋糕
<FoodCraft:BlockCong>, tile.BlockCong.name
<FoodCraft:BlockDami>, 大米方块
<FoodCraft:BlockDouban>, 豆瓣方块
<FoodCraft:BlockDouzi>, tile.BlockDouzi.name
<FoodCraft:BlockDouzik>, 豆子方块
<FoodCraft:BlockFanqie>, tile.BlockFanqie.name
<FoodCraft:BlockHongdou>, tile.BlockHongdou.name
<FoodCraft:BlockHongshu>, tile.BlockHongshu.name
<FoodCraft:BlockHongzao>, 红枣树叶
<FoodCraft:BlockHongzaoshu>, 红枣树苗
<FoodCraft:BlockHuanggua>, tile.BlockHuanggua.name
<FoodCraft:BlockHuashen>, tile.BlockHuashen.name
<FoodCraft:BlockHuashenk>, 花生方块
<FoodCraft:BlockJinputaoDG>, 金葡萄蛋糕
<FoodCraft:BlockJuzi>, 橘子树叶
<FoodCraft:BlockJuziDG>, 橘子蛋糕
<FoodCraft:BlockJuzishu>, 橘子树苗
<FoodCraft:BlockLajiao>, tile.BlockLajiao.name
<FoodCraft:BlockLi>, 梨树叶
<FoodCraft:BlockLiDG>, 梨子蛋糕
<FoodCraft:BlockLishu>, 梨树苗
<FoodCraft:BlockLizhi>, 荔枝树叶
<FoodCraft:BlockLizhishu>, 荔枝树苗
<FoodCraft:BlockLongyan>, 龙眼树叶
<FoodCraft:BlockLongyanshu>, 龙眼树苗
<FoodCraft:BlockLuobo>, 萝卜方块
<FoodCraft:BlockLvdou>, tile.BlockLvdou.name
<FoodCraft:BlockMangguo>, 芒果树叶
<FoodCraft:BlockMangguoshu>, 芒果树苗
<FoodCraft:BlockMugua>, 木瓜树叶
<FoodCraft:BlockMuguashu>, 木瓜树苗
<FoodCraft:BlockNingmeng>, 柠檬树叶
<FoodCraft:BlockNingmengDG>, 柠檬蛋糕
<FoodCraft:BlockNingmengshu>, 柠檬树苗
<FoodCraft:BlockNuodao>, tile.BlockNuodao.name
<FoodCraft:BlockPipa>, 枇杷树叶
<FoodCraft:BlockPipashu>, 枇杷树苗
<FoodCraft:BlockPutao>, tile.BlockPutao.name
<FoodCraft:BlockPutaoDG>, 葡萄蛋糕
<FoodCraft:BlockQiaokeli>, 巧克力方块
<FoodCraft:BlockQiezi>, tile.BlockQiezi.name
<FoodCraft:BlockQingjiao>, tile.BlockQingjiao.name
<FoodCraft:BlockRuomi>, 糯米方块
<FoodCraft:BlockShanzha>, 山楂树叶
<FoodCraft:BlockShanzhashu>, 山楂树苗
<FoodCraft:BlockShiliu>, 石榴树叶
<FoodCraft:BlockShiliushu>, 石榴树苗
<FoodCraft:BlockShizi>, 柿子树叶
<FoodCraft:BlockShizishu>, 柿子树苗
<FoodCraft:BlockShucai>, tile.BlockShucai.name
<FoodCraft:BlockShuidao>, tile.BlockShuidao.name
<FoodCraft:BlockTaozi>, 桃子树叶
<FoodCraft:BlockTaoziDG>, 桃子蛋糕
<FoodCraft:BlockTaozishu>, 桃子树苗
<FoodCraft:BlockTudou>, 土豆方块
<FoodCraft:BlockWaike>, 稻谷机器外壳
<FoodCraft:BlockXiangjiao>, 香蕉
<FoodCraft:BlockXiangjiaoshu>, 香蕉树苗
<FoodCraft:BlockYan>, 盐方块
<FoodCraft:BlockYezi>, 椰子树果
<FoodCraft:BlockYeziDG>, 椰子蛋糕
<FoodCraft:BlockYezishu>, 椰子树苗
<FoodCraft:BlockYingtao>, 樱桃树叶
<FoodCraft:BlockYingtaoshu>, 樱桃树苗
<FoodCraft:BlockYouzi>, 柚子树叶
<FoodCraft:BlockYouzishu>, 柚子树苗
<FoodCraft:BlockYumi>, tile.BlockYumi.name
<FoodCraft:Blocksugar>, 糖方块
<FoodCraft:Caiban>, 菜板
<FoodCraft:FCleaves>, 树叶
<FoodCraft:Guo>, 锅
<FoodCraft:Gyg>, 高压锅
<FoodCraft:ItemAeljichi>, 奥尔良鸡翅
<FoodCraft:ItemAeljichifan>, 奥尔良鸡翅饭
<FoodCraft:ItemAici>, 艾糍
<FoodCraft:ItemAnbiTools>, 暗碧多功能工具
<FoodCraft:ItemAnbizhishi>, 暗碧之石[稀有]
<FoodCraft:ItemAnlanTools>, 暗蓝多功能工具
<FoodCraft:ItemAnlanzhishi>, 暗蓝之石[稀有]
<FoodCraft:ItemBaifan>, 米饭
<FoodCraft:ItemBaijiu>, 白酒
<FoodCraft:ItemBailuobo>, 白萝卜
<FoodCraft:ItemBailuobosi>, 白萝卜丝
<FoodCraft:ItemBailuobozhi>, 白萝卜汁
<FoodCraft:ItemBaiqiuji>, 白切鸡
<FoodCraft:ItemBaoyumihua>, 爆玉米花
<FoodCraft:ItemBinggan>, 葡萄夹心饼干
<FoodCraft:ItemBingganF>, 饼干
<FoodCraft:ItemBingganXN>, 笑脸饼干
<FoodCraft:ItemCaidao>, 菜刀
<FoodCraft:ItemCaidaoHJ>, 黄金菜刀
<FoodCraft:ItemCaidaoLBS>, 绿宝石菜刀
<FoodCraft:ItemCaidaoZS>, 钻石菜刀
<FoodCraft:ItemCaomei>, 草莓
<FoodCraft:ItemCaomeizhi>, 草莓汁
<FoodCraft:ItemCaomeizhiice>, 草莓汁冰淇淋
<FoodCraft:ItemCha>, 茶
<FoodCraft:ItemChangfen>, 肠粉
<FoodCraft:ItemChaotudoupian>, 炒土豆片
<FoodCraft:ItemChaotudousifan>, 炒土豆丝饭
<FoodCraft:ItemChunjuan>, 春卷
<FoodCraft:ItemCiba>, 糍粑
<FoodCraft:ItemCong>, 葱
<FoodCraft:ItemCongyouji>, 葱油鸡
<FoodCraft:ItemCu>, 醋
<FoodCraft:ItemDajirou>, 大块的鸡肉
<FoodCraft:ItemDami>, 水稻
<FoodCraft:ItemDangao>, 葡萄蛋糕
<FoodCraft:ItemDangeng>, 鸡蛋羹
<FoodCraft:ItemDianfen>, 淀粉
<FoodCraft:ItemDianluban>, 机器核心
<FoodCraft:ItemDisanxian>, 地三鲜饭
<FoodCraft:ItemDouban>, 郫县豆瓣
<FoodCraft:ItemDoufu>, 豆腐
<FoodCraft:ItemDoufugan>, 豆腐干
<FoodCraft:ItemDoufusi>, 豆腐丝
<FoodCraft:ItemDoujiang>, 豆浆
<FoodCraft:ItemDoujiao>, 豆角
<FoodCraft:ItemDounai>, 豆奶
<FoodCraft:ItemDousha>, 豆沙
<FoodCraft:ItemDouzi>, 豆子
<FoodCraft:ItemDuojiaoyutou>, 剁椒鱼头饭
<FoodCraft:ItemFanqie>, 番茄
<FoodCraft:ItemFanqiechaojidanfan>, 番茄炒鸡蛋饭
<FoodCraft:ItemFanqiezhi>, 番茄汁
<FoodCraft:ItemFanqiezhong>, 番茄种子
<FoodCraft:ItemGalijiroufan>, 咖喱鸡肉饭
<FoodCraft:ItemGalikuai>, 咖喱块
<FoodCraft:ItemGongbaojiding>, 宫保鸡丁饭
<FoodCraft:ItemGuojiang>, 葡萄果酱
<FoodCraft:ItemGuoqiaomixian>, 过桥米线
<FoodCraft:ItemHanbaobao>, 汉堡包
<FoodCraft:ItemHetaosu>, 核桃酥
<FoodCraft:ItemHongdou>, 红豆
<FoodCraft:ItemHongjiu>, 红酒
<FoodCraft:ItemHongshaoroufan>, 红烧肉饭
<FoodCraft:ItemHongshu>, 红薯
<FoodCraft:ItemHongzao>, 红枣
<FoodCraft:ItemHongzaozhi>, 红枣汁
<FoodCraft:ItemHuanggua>, 黄瓜
<FoodCraft:ItemHuangguazhi>, 黄瓜汁
<FoodCraft:ItemHuangguazhong>, 黄瓜种子
<FoodCraft:ItemHuashen>, 花生
<FoodCraft:ItemHuashentangyuanxian>, 花生汤圆馅
<FoodCraft:ItemHuashenyou>, 花生油
<FoodCraft:ItemHuiguoroufan>, 回锅肉饭
<FoodCraft:ItemHuluobozhi>, 胡萝卜汁
<FoodCraft:ItemJianJiao>, 煎饺
<FoodCraft:ItemJiangyou>, 酱油
<FoodCraft:ItemJianjidan>, 荷包蛋
<FoodCraft:ItemJiaozi>, 饺子
<FoodCraft:ItemJiaozixian>, 饺子馅
<FoodCraft:ItemJichi>, 鸡翅
<FoodCraft:ItemJikuai>, 炸鸡块
<FoodCraft:ItemJimihua>, 鸡米花
<FoodCraft:ItemJinghuashuitong>, 净化水桶
<FoodCraft:ItemJinkela>, 金坷垃
<FoodCraft:ItemJinpingguojiu>, 金苹果酒
<FoodCraft:ItemJinpingguozhi>, 金苹果汁
<FoodCraft:ItemJinpingguozhiice>, 金苹果汁冰淇淋
<FoodCraft:ItemJinputao>, 金葡萄
<FoodCraft:ItemJinputaojiu>, 金葡萄酒
<FoodCraft:ItemJinputaozhi>, 金葡萄汁
<FoodCraft:ItemJinputaozhiice>, 金葡萄汁冰淇淋
<FoodCraft:ItemJitui>, 鸡腿
<FoodCraft:ItemJuzi>, 橘子
<FoodCraft:ItemJuzizhi>, 橘子汁
<FoodCraft:ItemJuzizhiice>, 橘子汁冰淇淋
<FoodCraft:ItemKafei>, 咖啡
<FoodCraft:ItemKaohongshu>, 烤红薯
<FoodCraft:ItemKaoyumi>, 烤玉米
<FoodCraft:ItemKele>, 可乐
<FoodCraft:ItemKelejichifan>, 可乐鸡翅饭
<FoodCraft:ItemKoushuiji>, 口水鸡
<FoodCraft:ItemLabazhou>, 腊八粥
<FoodCraft:ItemLachang>, 腊肠
<FoodCraft:ItemLajiao>, 辣椒
<FoodCraft:ItemLajiaozhong>, 辣椒种子
<FoodCraft:ItemLaobing>, 烙饼
<FoodCraft:ItemLarou>, 腊肉
<FoodCraft:ItemLatiao>, 辣条
<FoodCraft:ItemLaweixunliao>, 腊味熏料
<FoodCraft:ItemLaziji>, 辣子鸡
<FoodCraft:ItemLi>, 梨
<FoodCraft:ItemLizhi>, 荔枝
<FoodCraft:ItemLizhijiu>, 荔枝酒
<FoodCraft:ItemLizhizhi>, 荔枝汁
<FoodCraft:ItemLizhizhiice>, 荔枝汁冰淇淋
<FoodCraft:ItemLizijiu>, 梨子酒
<FoodCraft:ItemLizizhi>, 梨子汁
<FoodCraft:ItemLongyan>, 龙眼
<FoodCraft:ItemLuobosi>, 萝卜丝
<FoodCraft:ItemLvdou>, 绿豆
<FoodCraft:ItemMahua>, 麻花
<FoodCraft:ItemMalayu>, 麻辣鱼
<FoodCraft:ItemMangguo>, 芒果
<FoodCraft:ItemMangguojiu>, 芒果酒
<FoodCraft:ItemMangguozhi>, 芒果汁
<FoodCraft:ItemMangguozhiice>, 芒果汁冰淇淋
<FoodCraft:ItemMantou>, 馒头
<FoodCraft:ItemMapodoufufan>, 麻婆豆腐饭
<FoodCraft:ItemMian>, 面
<FoodCraft:ItemMianfen>, 面粉
<FoodCraft:ItemMianfensi>, 面丝
<FoodCraft:ItemMianpi>, 面皮
<FoodCraft:ItemMogudunjitang>, 蘑菇炖鸡汤
<FoodCraft:ItemMugua>, 木瓜
<FoodCraft:ItemMuguazhi>, 木瓜汁
<FoodCraft:ItemMuguazhiice>, 木瓜汁冰淇淋
<FoodCraft:ItemNaicha>, 奶茶
<FoodCraft:ItemNainao>, 奶酪
<FoodCraft:ItemNiangao>, 年糕
<FoodCraft:ItemNingmeng>, 柠檬
<FoodCraft:ItemNingmengjiu>, 柠檬酒
<FoodCraft:ItemNingmengzhi>, 柠檬汁
<FoodCraft:ItemNingmengzhiice>, 柠檬汁冰淇淋
<FoodCraft:ItemNull>, 空
<FoodCraft:ItemNuomi>, 糯米
<FoodCraft:ItemNuomifen>, 糯米粉
<FoodCraft:ItemNuomituan>, 糯米团
<FoodCraft:ItemPidanshourouzhou>, 皮蛋瘦肉粥
<FoodCraft:ItemPingguojiu>, 苹果酒
<FoodCraft:ItemPingguozhi>, 苹果汁
<FoodCraft:ItemPingguozhiice>, 苹果汁冰淇淋
<FoodCraft:ItemPipa>, 枇杷
<FoodCraft:ItemPipazhi>, 枇杷汁
<FoodCraft:ItemPisa>, 比萨饼
<FoodCraft:ItemPutao>, 葡萄
<FoodCraft:ItemPutaojiu>, 葡萄酒
<FoodCraft:ItemPutaozhi>, 葡萄汁
<FoodCraft:ItemPutaozhiice>, 葡萄汁冰淇淋
<FoodCraft:ItemPutaozhong>, 葡萄种子
<FoodCraft:ItemQiaokeli>, 巧克力
<FoodCraft:ItemQiaokelifen>, 巧克力粉
<FoodCraft:ItemQiaokelinai>, 巧克力奶
<FoodCraft:ItemQiaokelinaiice>, 巧克力奶冰淇淋
<FoodCraft:ItemQiaokelishui>, 巧克力水
<FoodCraft:ItemQiezi>, 茄子
<FoodCraft:ItemQiezizhong>, 茄子种子
<FoodCraft:ItemQingjiao>, 青椒
<FoodCraft:ItemQingjiaozhong>, 青椒种子
<FoodCraft:ItemQingzhenyu>, 清蒸鱼
<FoodCraft:ItemRegou>, 热狗
<FoodCraft:ItemRibendoufu>, 红烧日本豆腐饭
<FoodCraft:ItemSCBlock>, 方块爱好者[手册]
<FoodCraft:ItemSCCn>, 中国传统食品[手册]
<FoodCraft:ItemSCFan1>, 垂涎欲滴的主食I[手册]
<FoodCraft:ItemSCFan2>, 垂涎欲滴的主食II[手册]
<FoodCraft:ItemSCFan3>, 垂涎欲滴的主食III[手册]
<FoodCraft:ItemSCJ>, 酒鬼土豪[手册]
<FoodCraft:ItemSCKFC>, 肯德基食物[手册]
<FoodCraft:ItemSCMW1>, 美味的食物I[手册]
<FoodCraft:ItemSCMW2>, 美味的食物II[手册]
<FoodCraft:ItemSCPlant>, 可爱的植物[手册]
<FoodCraft:ItemSCShui1>, 香甜的饮料I[手册]
<FoodCraft:ItemSCShui2>, 香甜的饮料II[手册]
<FoodCraft:ItemSCTh>, 土豪的象征[手册]
<FoodCraft:ItemSCYz>, 油炸食品[手册]
<FoodCraft:ItemShanzha>, 山楂
<FoodCraft:ItemShanzhazhi>, 山楂汁
<FoodCraft:ItemShaojiaodeshiwu>, 烧焦的食物
<FoodCraft:ItemShiliu>, 石榴
<FoodCraft:ItemShiliujiu>, 石榴酒
<FoodCraft:ItemShiliuzhi>, 石榴汁
<FoodCraft:ItemShizi>, 柿子
<FoodCraft:ItemShizizhi>, 柿子汁
<FoodCraft:ItemShucai>, 蔬菜
<FoodCraft:ItemShucaizhi>, 蔬菜汁
<FoodCraft:ItemShucaizhong>, 蔬菜种子
<FoodCraft:ItemShuizhuniurou>, 水煮牛肉
<FoodCraft:ItemShupian>, 薯片
<FoodCraft:ItemShutiao>, 薯条
<FoodCraft:ItemShuyangrou>, 熟羊肉
<FoodCraft:ItemShuyouyurou>, 熟鱿鱼肉
<FoodCraft:ItemSuancaibing>, 酸菜饼
<FoodCraft:ItemSuancaiyu>, 酸菜鱼
<FoodCraft:ItemTangyuan>, 汤圆
<FoodCraft:ItemTaozi>, 桃子
<FoodCraft:ItemTaozijiu>, 桃子酒
<FoodCraft:ItemTaozizhi>, 桃子汁
<FoodCraft:ItemTaozizhiice>, 桃子汁冰淇淋
<FoodCraft:ItemTest>, item.ItemTest.name
<FoodCraft:ItemTiepian>, 铁片
<FoodCraft:ItemTudoupian>, 土豆片
<FoodCraft:ItemTudousi>, 土豆丝
<FoodCraft:ItemWrench>, 扳手
<FoodCraft:ItemXiangchang>, 香肠
<FoodCraft:ItemXiangjiao>, 香蕉
<FoodCraft:ItemXiangjiaozhi>, 香蕉汁
<FoodCraft:ItemXiangjiaozhiice>, 香蕉汁冰淇淋
<FoodCraft:ItemXiaojirou>, 小块的鸡肉
<FoodCraft:ItemXifan>, 粥
<FoodCraft:ItemXiguazhi>, 西瓜汁
<FoodCraft:ItemXiguazhiice>, 西瓜汁冰淇淋
<FoodCraft:ItemXuebi>, 雪碧
<FoodCraft:ItemYan>, 食盐
<FoodCraft:ItemYangrou>, 羊肉
<FoodCraft:ItemYenai>, 椰奶
<FoodCraft:ItemYezi>, 椰子
<FoodCraft:ItemYezizhi>, 椰子汁
<FoodCraft:ItemYezizhiice>, 椰子汁冰淇淋
<FoodCraft:ItemYifen>, 意粉
<FoodCraft:ItemYifenbeef>, 牛肉炒意粉
<FoodCraft:ItemYifenchicken>, 鸡肉炒意粉
<FoodCraft:ItemYifenpork>, 猪肉炒意粉
<FoodCraft:ItemYingtao>, 樱桃
<FoodCraft:ItemYingtaozhi>, 樱桃汁
<FoodCraft:ItemYoutiao>, 油条
<FoodCraft:ItemYouyurou>, 鱿鱼肉
<FoodCraft:ItemYouyusi>, Squid Slices
<FoodCraft:ItemYouzi>, 柚子
<FoodCraft:ItemYouzizhi>, 柚子汁
<FoodCraft:ItemYuanweijikuai>, 原味鸡块
<FoodCraft:ItemYuebing>, 月饼
<FoodCraft:ItemYumi>, 玉米
<FoodCraft:ItemYumizhi>, 玉米汁
<FoodCraft:ItemYumizhong>, 玉米种子
<FoodCraft:ItemYuxiangrousi>, 鱼香肉丝饭
<FoodCraft:ItemZhachunjuan>, 炸春卷
<FoodCraft:ItemZhadoufu>, 炸豆腐
<FoodCraft:ItemZhajitui>, 炸鸡腿
<FoodCraft:ItemZhamahua>, 炸麻花
<FoodCraft:ItemZhamianbao>, 炸面包
<FoodCraft:ItemZhaniangao>, 炸年糕
<FoodCraft:ItemZhaxiangchang>, 炸香肠
<FoodCraft:ItemZhongjirou>, 中块的鸡肉
<FoodCraft:ItemZongjiqianguzhishi>, 终极千古之石[珍贵]
<FoodCraft:ItemZongye>, 粽叶
<FoodCraft:ItemZongzi>, 粽子
<FoodCraft:Itemfan>, 大米
<FoodCraft:Itemwater>, 净化水
<FoodCraft:Milling machine>, 碾磨机
<FoodCraft:Nt>, 酿桶
<FoodCraft:PDG>, 平底锅
<FoodCraft:Tpj>, 饮料制作机
<FoodCraft:YZJ>, 油炸机
<FoodCraft:Zl>, 灶炉
<FoodCraft:litYZJ>, tile.litYZJ.name
<FoodCraft:lit_Milling machine>, tile.litNmj.name
<FoodCraft:lit_Tpj>, tile.litTpj.name
<FoodCraft:lit_Zl>, tile.litZl.name
<GalacticraftCore:item.airFan>, 排气扇
<GalacticraftCore:item.airVent>, 排气孔
<GalacticraftCore:item.basicItem>, 单体太阳能模块
<GalacticraftCore:item.battery>, 电池
<GalacticraftCore:item.buggy>, 星球车
<GalacticraftCore:item.buggymat>, 星球车车轮
<GalacticraftCore:item.canister>, 锡罐
<GalacticraftCore:item.canvas>, 帆布
<GalacticraftCore:item.cheeseCurd>, 奶酪凝乳
<GalacticraftCore:item.engine>, 1阶火箭引擎
<GalacticraftCore:item.flag>, 旗
<GalacticraftCore:item.fuelCanisterPartial>, 燃料罐(半满)
<GalacticraftCore:item.heavyPlating>, 重型防护板
<GalacticraftCore:item.infiniteBattery>, 无限电池
<GalacticraftCore:item.infiniteOxygen>, 无限氧气罐
<GalacticraftCore:item.key>, 地牢钥匙(1阶)
<GalacticraftCore:item.meteoricIronIngot>, 陨铁锭
<GalacticraftCore:item.meteoricIronRaw>, 生陨铁锭
<GalacticraftCore:item.noseCone>, 鼻锥
<GalacticraftCore:item.null>, 可投掷流星碎片
<GalacticraftCore:item.oilCanisterPartial>, 油罐(半满)
<GalacticraftCore:item.oilExtractor>, 便携抽油器
<GalacticraftCore:item.oxygenConcentrator>, 氧气浓缩器
<GalacticraftCore:item.oxygenGear>, 供氧设备
<GalacticraftCore:item.oxygenMask>, 氧气面罩
<GalacticraftCore:item.oxygenTankHeavyFull>, 重型氧气罐
<GalacticraftCore:item.oxygenTankLightFull>, 轻型氧气罐
<GalacticraftCore:item.oxygenTankMedFull>, 中型氧气罐
<GalacticraftCore:item.parachute>, 降落伞
<GalacticraftCore:item.rocketFins>, 火箭尾鳍
<GalacticraftCore:item.schematic>, NASA工作台图纸
<GalacticraftCore:item.sensorGlasses>, 探测眼镜
<GalacticraftCore:item.sensorLens>, 探测镜片
<GalacticraftCore:item.spaceship>, 1阶火箭
<GalacticraftCore:item.standardWrench>, 标准扳手
<GalacticraftCore:item.steelPole>, 钢杆
<GalacticraftCore:item.steel_axe>, 钢斧
<GalacticraftCore:item.steel_boots>, 钢靴子
<GalacticraftCore:item.steel_chestplate>, 重型胸甲
<GalacticraftCore:item.steel_helmet>, 钢头盔
<GalacticraftCore:item.steel_hoe>, 钢锄
<GalacticraftCore:item.steel_leggings>, 重型护腿
<GalacticraftCore:item.steel_pickaxe>, 钢镐
<GalacticraftCore:item.steel_shovel>, 钢锹
<GalacticraftCore:item.steel_sword>, 钢剑
<GalacticraftCore:slabGCDouble>, tile.slabGCDouble.tinSlab.name
<GalacticraftCore:slabGCHalf>, 装饰锡制台阶
<GalacticraftCore:tile.airLockFrame>, 气密框架
<GalacticraftCore:tile.airLockSeal>, 气密闸
<GalacticraftCore:tile.aluminumWire>, 铝线
<GalacticraftCore:tile.arclamp>, 弧光灯
<GalacticraftCore:tile.breatheableAir>, tile.breatheableAir.name
<GalacticraftCore:tile.brightAir>, tile.brightAir.name
<GalacticraftCore:tile.brightBreathableAir>, tile.brightBreathableAir.name
<GalacticraftCore:tile.cargo>, 货物加载器
<GalacticraftCore:tile.cheeseBlock>, 奶酪块
<GalacticraftCore:tile.crudeOilStill>, 原油
<GalacticraftCore:tile.distributor>, 氧气分配器
<GalacticraftCore:tile.dummyblock>, tile.dummyblock.null.name
<GalacticraftCore:tile.enclosed>, tile.enclosed.null.name
<GalacticraftCore:tile.fallenMeteor>, 陨石
<GalacticraftCore:tile.fuel>, 燃料
<GalacticraftCore:tile.fuelLoader>, 燃料注入器
<GalacticraftCore:tile.gcBlockCore>, tile.gcBlockCore.null.name
<GalacticraftCore:tile.glowstoneTorch>, 萤石火把
<GalacticraftCore:tile.landingPad>, 火箭发射平台
<GalacticraftCore:tile.landingPadFull>, 火箭发射平台
<GalacticraftCore:tile.machine>, 燃煤发电机
<GalacticraftCore:tile.machine2>, 电动压缩机
